X;ID;dataSetName;archiveType;siteName;latitude;longitude;elevation;region;country;startYear;endYear
[ID127]_Aristarain_1_[Col1]_James_Ross;127;Aristarain_1;ice core;James Ross Island; -64.36666667; -58.13333; 1640.0;Antarctica;Antarctica;  1791;2000
[ID129]_Boes_1_[Col1]_Puyehue_varve_thickness;129;Boes_1;lake sediment;Lago Puyehue; -40.65000000; -72.45000;  212.0;South America;Chile;  1408;1997
[ID131]_Plomo_Lake_[Col1]_Plomo_precip;131;Plomo_Lake;lake sediment;Lago Plomo; -46.98333333; -72.86667;  203.0;South America;Chile;  1530;2000
[ID132]_Pumacocha_d180_[Col1]_Pumacocha_d18O;132;Pumacocha_d180;lake sediment;Laguna Pumacocha Peru; -10.70000000; -76.06667; 4300.0;South America;Peru;  -277;2007
[ID134]_Lake_Challa_[Col1]_Lake_Challa_varve_thickness;134;Lake_Challa;lake sediment;Lake Challa Kenya;  -3.31666667;  37.70000;  880.0;Africa;Kenya; -1050;2005
[ID137]_Rein_1_[Col1]_X106KL_lithics;137;Rein_1;marine sediment;106KL off Peruvian Coast; -12.05000000; -77.66667; -184.0;South America;Peru;-13550;2000
[ID140]_Cascayunga_Peru_[Col1]_Cascayunga_d18O;140;Cascayunga_Peru;speleothem;Cascayunga Cave, Peru;  -6.06666667; -77.20000;  885.0;South America;Peru;  1089;2005
[ID141]_Rasbury_1_[Col1]_Avaiki_ASM1;141;Rasbury_1;speleothem;Avaiki; -19.00000000;-169.83333;NA;Pacific Ocean;Other;  1829;2001
[ID143]_WA_Callitris_[Col6]_SW_Callitris_LKG_LTY_Signalfree_2;143;WA_Callitris;tree;WA Callitris; -33.03333333; 120.76667;  300.0;Australasia;Australia;  1601;2005
[ID147]_BawBaw_[Col6]_BawBaw_Signalfree_2;147;BawBaw;tree;Baw Baw; -36.41666667; 148.33333; 2000.0;Australasia;Australia;  1780;2008
[ID148]_TR_Cluster_CAN22_[Col6]_NOPU_Cluster_9_Data_Signalfree_2;148;TR_Cluster_CAN22;tree;CAN22_Cluster; -41.75000000; -71.75000; 1300.0;South America;Argentina;  1614;1994
[ID152]_TR_Cluster_CAN5_[Col6]_NOPU_Cluster_8_Data_Signalfree_2;152;TR_Cluster_CAN5;tree;CAN5_Cluster; -38.61666667; -71.58333; 1640.0;South America;Chile;  1680;1996
[ID156]_Buckleys_Chance_[Col6]_BCH_Signalfree_2;156;Buckleys_Chance;tree;Buckleys Chance Tasmania; -42.26666667; 145.86667;  900.0;Australasia;Australia;   910;1991
[ID158]_TR_Cluster_CAN15_[Col6]_NOPU_Cluster_7x_Data_Signalfree_2;158;TR_Cluster_CAN15;tree;CAN15_Cluster; -41.16666667; -71.91667; 1300.0;South America;Argentina;  1539;1991
[ID162]_Gleeson_3_[Col6]_TM4_Signalfree_2;162;Gleeson_3;tree;Torre Morena 4; -49.50000000; -73.50000;  658.0;South America;Argentina;  1703;2007
