,CMIP5_0.95,CMIP5_0.05,CMIP6_0.95,CMIP6_0.05,MIROC6_0.95,MIROC6_0.05,CORDEX_0.95,CORDEX_0.05,CSIR_0.95,CSIR_0.05,STATIONS,GPCC_V2018,CRU_4.03
2040-12-31,0.66,-18.5,-3.29,-15.58,0.81,-12.53,-0.62,-19.92,-7.12,-19.64,,,
2041-12-31,0.01,-18.86,-3.48,-16.61,0.65,-13.07,-0.86,-20.76,-7.57,-20.1,,,
2042-12-31,-0.8,-19.24,-3.46,-16.99,0.3,-13.57,-1.01,-20.95,-8.87,-20.08,,,
2043-12-31,-1.16,-18.96,-4.59,-17.76,1.24,-14.0,-1.61,-20.67,-8.45,-20.53,,,
2044-12-31,-2.25,-19.53,-5.13,-17.97,1.25,-13.89,-1.88,-21.55,-8.31,-21.26,,,
2045-12-31,-1.89,-19.83,-4.76,-18.33,0.17,-13.69,-1.29,-22.03,-8.74,-20.62,,,
2046-12-31,-3.09,-20.57,-5.22,-19.23,0.14,-14.22,-2.26,-22.26,-8.64,-20.81,,,
2047-12-31,-4.18,-20.07,-5.34,-19.01,-0.73,-14.29,-2.4,-21.87,-9.48,-21.25,,,
2048-12-31,-4.26,-20.4,-5.76,-19.09,-0.47,-15.15,-2.77,-22.58,-9.75,-21.16,,,
2049-12-31,-4.18,-20.51,-5.92,-19.38,-0.2,-14.71,-1.1,-24.6,-9.34,-21.24,,,
2050-12-31,-5.23,-21.22,-5.54,-19.09,-0.9,-15.85,-1.69,-24.09,-9.04,-21.53,,,
2051-12-31,-4.95,-21.45,-5.45,-19.78,-1.17,-16.75,-1.26,-23.91,-9.04,-21.31,,,
2052-12-31,-5.13,-21.79,-5.57,-19.63,-2.6,-17.73,-2.13,-25.22,-8.66,-22.01,,,
2053-12-31,-5.25,-22.75,-6.81,-20.44,-3.37,-17.4,-2.7,-25.18,-9.39,-22.25,,,
2054-12-31,-6.08,-23.33,-7.0,-21.96,-3.44,-17.76,-3.36,-26.17,-8.66,-22.54,,,
2055-12-31,-5.5,-23.77,-7.3,-23.44,-2.88,-17.57,-2.6,-26.64,-10.37,-22.04,,,
2056-12-31,-6.22,-24.17,-6.46,-23.1,-3.2,-17.67,-2.24,-27.41,-10.35,-22.72,,,
2057-12-31,-6.75,-24.53,-6.22,-22.97,-3.39,-17.75,-1.74,-28.54,-10.86,-23.24,,,
2058-12-31,-7.35,-24.89,-6.38,-23.96,-4.15,-18.38,-1.77,-29.8,-10.34,-23.4,,,
2059-12-31,-7.54,-25.15,-6.79,-24.23,-4.67,-18.43,-0.46,-29.85,-9.6,-23.81,,,
2060-12-31,-7.51,-26.27,-5.97,-25.3,-5.71,-19.02,-0.4,-31.22,-9.45,-23.88,,,
2061-12-31,-7.44,-25.47,-6.73,-26.0,-6.18,-19.36,-0.17,-31.71,-9.53,-23.57,,,
2062-12-31,-8.21,-26.05,-6.79,-26.82,-6.14,-19.22,-1.23,-32.93,-8.76,-23.07,,,
2063-12-31,-8.68,-26.46,-6.84,-28.25,-5.94,-19.49,-2.74,-33.66,-8.32,-23.25,,,
2064-12-31,-7.97,-26.96,-7.03,-27.35,-6.84,-20.11,-2.71,-34.52,-8.84,-24.11,,,
2065-12-31,-8.63,-28.06,-6.97,-27.36,-7.5,-20.09,-4.37,-33.97,-10.37,-24.89,,,
2066-12-31,-8.94,-28.62,-7.85,-27.85,-7.89,-19.95,-4.64,-33.48,-9.72,-24.1,,,
2067-12-31,-9.24,-27.93,-8.15,-28.17,-8.46,-20.82,-5.46,-33.54,-11.28,-24.12,,,
2068-12-31,-9.2,-28.1,-8.14,-28.72,-8.81,-21.19,-5.23,-34.74,-11.17,-24.92,,,
2069-12-31,-9.53,-28.67,-8.32,-28.84,-8.61,-21.64,-5.85,-35.12,-11.08,-25.7,,,
2070-12-31,-9.71,-29.46,-8.18,-29.41,-8.19,-22.12,-6.34,-34.97,-10.38,-24.59,,,
2071-12-31,-10.53,-30.13,-8.53,-30.39,-9.83,-21.86,-6.92,-35.71,-10.84,-24.53,,,
2072-12-31,-9.75,-31.03,-8.16,-31.45,-8.85,-21.11,-7.01,-36.1,-10.77,-25.14,,,
2073-12-31,-10.57,-31.8,-8.11,-31.63,-9.06,-21.75,-6.39,-37.81,-10.99,-25.11,,,
2074-12-31,-10.82,-32.58,-8.21,-32.28,-9.49,-22.32,-3.73,-38.14,-11.77,-25.1,,,
2075-12-31,-10.79,-32.88,-8.58,-32.32,-10.1,-22.46,-6.03,-39.61,-11.5,-26.17,,,
2076-12-31,-10.47,-33.77,-8.49,-32.52,-9.39,-23.01,-6.37,-39.63,-12.12,-26.52,,,
2077-12-31,-10.85,-33.16,-8.54,-33.61,-9.72,-23.37,-6.17,-41.43,-11.11,-25.77,,,
2078-12-31,-10.88,-34.12,-8.24,-34.05,-10.49,-23.48,-5.9,-42.02,-9.71,-25.95,,,
2079-12-31,-10.38,-34.75,-8.35,-34.58,-11.05,-23.32,-4.99,-41.64,-11.08,-26.14,,,
2080-12-31,-10.87,-35.47,-8.57,-35.22,-11.52,-23.9,-3.64,-42.77,-12.01,-25.98,,,
2081-12-31,-11.41,-35.6,-9.33,-35.71,-10.74,-25.12,-4.29,-43.88,-12.1,-26.34,,,
2082-12-31,-12.25,-35.78,-9.26,-35.96,-11.15,-25.66,-4.73,-43.24,-12.43,-26.42,,,
2083-12-31,-11.76,-35.66,-9.66,-36.41,-11.56,-25.59,-5.94,-43.65,-12.0,-27.0,,,
2084-12-31,-11.84,-36.5,-9.68,-36.97,-11.51,-25.45,-2.15,-43.36,-12.7,-27.73,,,
2085-12-31,-12.56,-36.76,-10.1,-37.53,-12.63,-26.07,-2.78,-43.67,,,,,
2086-12-31,-12.75,-36.68,,,,,-2.33,-43.84,,,,,
2087-12-31,,,,,,,,,,,,,
2088-12-31,,,,,,,,,,,,,
2089-12-31,,,,,,,,,,,,,
2090-12-31,,,,,,,,,,,,,
2091-12-31,,,,,,,,,,,,,
2092-12-31,,,,,,,,,,,,,
2093-12-31,,,,,,,,,,,,,
2094-12-31,,,,,,,,,,,,,
2095-12-31,,,,,,,,,,,,,
2096-12-31,,,,,,,,,,,,,
2097-12-31,,,,,,,,,,,,,
2098-12-31,,,,,,,,,,,,,
2099-12-31,,,,,,,,,,,,,
2100-12-31,,,,,,,,,,,,,
